epoch,acc,loss,lr,val_acc,val_loss
0,0.409787118434906,1.1023658514022827,0.001,0.42612531781196594,1.0581092834472656
1,0.44314640760421753,1.057381510734558,0.001,0.42482811212539673,1.0589476823806763
2,0.4571651220321655,1.043257713317871,0.001,0.45375534892082214,1.0408949851989746
3,0.46988576650619507,1.026480793952942,0.001,0.46672719717025757,1.0519808530807495
4,0.4965602159500122,1.0054794549942017,0.001,0.49189260601997375,1.0143579244613647
5,0.5005841255187988,0.9914390444755554,0.001,0.4933195114135742,1.014848232269287
6,0.5178478956222534,0.9725891351699829,0.001,0.4599818289279938,1.0530563592910767
7,0.5392004251480103,0.9496327638626099,0.001,0.5174471139907837,0.9867627620697021
8,0.5612668991088867,0.9154314398765564,0.001,0.5262680053710938,0.9729017615318298
9,0.5952751636505127,0.8797954320907593,0.001,0.5611622929573059,0.9147038459777832
10,0.6153296828269958,0.8285415172576904,0.001,0.5284731984138489,1.0410457849502563
11,0.6569963693618774,0.7746140956878662,0.001,0.5777662396430969,0.9661833643913269
12,0.6924974322319031,0.7029529213905334,0.001,0.5790634155273438,0.9720591306686401
13,0.7370197176933289,0.6265509724617004,0.001,0.5854196548461914,1.1356759071350098
14,0.769859790802002,0.5500711798667908,0.001,0.6143468618392944,0.9492522478103638
15,0.8041277527809143,0.4817405641078949,0.001,0.5763393640518188,1.1584696769714355
16,0.8966121673583984,0.3150174915790558,1e-04,0.6971072554588318,0.790280818939209
17,0.9208203554153442,0.2627370059490204,1e-04,0.7025554776191711,0.7834362983703613
18,0.9291926026344299,0.23948533833026886,1e-04,0.7100791335105896,0.7921656966209412
19,0.9382787942886353,0.21645759046077728,1e-04,0.7030743360519409,0.8132069110870361
20,0.9380841255187988,0.20771591365337372,1e-04,0.7116357684135437,0.847916305065155
21,0.9481438398361206,0.186435729265213,1e-04,0.7147489786148071,0.8295699954032898
22,0.9526869058609009,0.17317575216293335,1e-04,0.7194188833236694,0.8523882031440735
23,0.9570353031158447,0.15981702506542206,1e-04,0.7233104109764099,0.7977786660194397
24,0.9595015645027161,0.14961451292037964,1e-04,0.7244778871536255,0.8308286666870117
25,0.9639797210693359,0.14124532043933868,1e-04,0.7142301201820374,0.8824709057807922
26,0.9632658362388611,0.1352720707654953,1e-04,0.7199377417564392,0.8619163036346436
27,0.9687175750732422,0.1218923032283783,1e-04,0.7264236807823181,0.8536227345466614
28,0.9705348014831543,0.11669198423624039,1e-04,0.7234401106834412,0.8856581449508667
29,0.9726116061210632,0.11178173124790192,1e-04,0.7159164547920227,0.951521098613739
30,0.9744937419891357,0.10349415242671967,1e-04,0.7199377417564392,0.9350664615631104
31,0.9772196412086487,0.09264057874679565,1e-04,0.7239590287208557,0.9161314964294434
32,0.9783229231834412,0.09016301482915878,1e-04,0.7266830801963806,0.9302181601524353
33,0.9786474704742432,0.08966022729873657,1e-04,0.7262939214706421,0.9503944516181946
34,0.9811785817146301,0.08038540929555893,1e-04,0.7259047627449036,0.9817326068878174
35,0.9799454808235168,0.07972803711891174,1e-04,0.7339473366737366,0.9300583004951477
36,0.9805296063423157,0.07847172766923904,1e-04,0.7413412928581238,0.9044058918952942
37,0.9813084006309509,0.07491262257099152,1e-04,0.7362822890281677,0.9121583700180054
38,0.9851375818252563,0.06614808738231659,1e-04,0.7336878776550293,0.9680807590484619
39,0.985981285572052,0.06435049325227737,1e-04,0.7288883328437805,1.0152796506881714
40,0.9866303205490112,0.06117057427763939,1e-04,0.7305746674537659,1.0249043703079224
41,0.9889018535614014,0.05167471244931221,1e-05,0.7386171817779541,0.969669759273529
42,0.9889667630195618,0.05187790095806122,1e-05,0.7396549582481384,0.9724121689796448
